mut_pos	s_d	w_d	s_fx	w_fx
3.34181e+07	0.676638	0.800421	1.05058	0.798899
4.79632e+07	0.405807	0.62905	6.26104	9.42025
5.99817e+06	0.440217	0.690411	0.497142	0.510995
2.59923e+07	0.650838	0.743694	7.96266	13.4253
3.84113e+07	0.678601	0.629928	0.734904	1.50306
2.60198e+07	0.901797	0.133866	2.0644	4.4883
2.55071e+07	0.88793	0.292228	0.533219	0.410847
3.37287e+06	0.684865	0.759006	3.42513	3.59702
4.60834e+07	0.289168	0.72338	1.64554	1.23885
3.7948e+07	0.197531	0.852821	4.08009	2.22326
2.99407e+07	0.952095	0.253226	6.37198	6.67254
3.15805e+06	0.36094	0.813218	0.224596	0.236796
9.00134e+06	0.550756	0.814524	1.09618	1.81709
4.35317e+07	0.868402	0.973522	0.241404	0.413074
2.23776e+07	0.680893	0.487471	2.19656	2.91559
5.69188e+07	0.400557	0.658403	0.0679481	0.103429
4.68832e+07	0.575709	0.938412	3.47764	5.8954
1.18946e+07	0.656132	0.757354	4.54017	3.2977
