mut_pos	s_d	w_d	s_fx	w_fx
3.21739e+06	0.959236	0.507233	2.3358	3.2696
1.46241e+07	0.481622	0.994055	3.88432	6.24392
2.4086e+06	0.853689	0.826976	0.761692	0.427216
6.67359e+07	0.800286	0.225951	0.27138	0.33382
2.4534e+07	0.611566	0.797885	0.777483	0.417552
3.46992e+07	0.898773	0.485823	0.184194	0.109764
2.94854e+07	0.123344	0.890789	0.400436	0.583953
4.52831e+07	0.252126	0.934352	5.07853	3.95066
3.4902e+07	0.949778	0.124918	1.84959	0.993329
1.15453e+07	0.78827	0.681604	1.92148	1.96067
9.9103e+06	0.736601	0.945406	0.823408	0.665681
9.33233e+06	0.906865	0.647451	0.265477	0.625979
2.85736e+07	0.745458	0.721522	0.427086	0.402657
5.25971e+07	0.516809	0.988814	0.655036	0.392182
1.8434e+07	0.309546	0.849694	0.705321	0.87914
5.56929e+07	0.341302	0.964802	0.674034	1.88037
6.56331e+07	0.707804	0.801747	1.25531	0.67044
4.53438e+07	0.799479	0.790956	1.86358	1.39499
5.07421e+07	0.925439	0.102688	4.91994	2.76409
1.74881e+07	0.629229	0.705159	0.431189	0.746931
3.08059e+07	0.774379	0.493031	0.26875	0.226777
1.69635e+06	0.39909	0.948305	2.09562	2.97397
4.38348e+07	0.911374	0.55707	0.944054	1.272
3.88007e+07	0.512184	0.519543	0.488121	0.553439
5.91642e+07	0.33846	0.677359	1.02005	1.13052
6.53711e+07	0.641119	0.903424	0.960499	0.435214
2.29979e+07	0.695484	0.509936	2.19702	3.30989
3.8222e+07	0.87246	0.466138	1.10025	0.693846
5.22596e+07	0.677148	0.681508	2.89736	1.24503
9.68511e+06	0.859065	0.348696	0.976453	1.10604
5.16248e+07	0.28661	0.992612	0.739347	0.518414
6.27133e+07	0.658038	0.835	0.647094	0.429659
5.59626e+07	0.863803	0.661477	0.601832	0.333694
6.843e+06	0.366572	0.662751	1.58449	1.62394
5.09677e+07	0.242273	0.883704	7.05966	6.50243
6.34576e+07	0.701535	0.312618	3.79799	2.42617
1.46733e+07	0.57718	0.807648	5.42136	5.564
5.19128e+07	0.685804	0.761361	0.767081	1.16615
2.7097e+07	0.791101	0.306192	3.01871	1.50096
1.09637e+06	0.649289	0.833457	2.12622	1.30019
3.90354e+07	0.509712	0.682803	0.601046	0.582564
6.55336e+07	0.811111	0.763848	1.39365	1.03523
3.83647e+07	0.9383	0.526123	1.07894	0.903419
3.37609e+07	0.717212	0.561818	1.39825	0.791355
5.98932e+07	0.83397	0.660443	4.21477	5.78163
1.75568e+07	0.489794	0.532408	0.318402	0.398579
2.21797e+07	0.976958	0.231036	2.55773	1.34806
2.25312e+06	0.880204	0.879892	1.84016	2.72592
5.87798e+07	0.757257	0.857986	1.56577	1.09141
6.61695e+07	0.182775	0.986349	1.51582	1.88949
3.76434e+07	0.478219	0.874406	1.16112	0.460274
6.41495e+07	0.917802	0.151406	0.394548	0.28297
3.9146e+07	0.781444	0.273529	0.36634	0.393077
