mut_pos	s_d	w_d	s_fx	w_fx
5.64976e+07	0.579019	0.628083	2.27097	3.23493
4.59137e+07	0.708788	0.353176	2.36382	1.88491
6.32015e+07	0.146378	0.958901	2.08953	2.56513
5.48639e+07	0.909824	0.908888	0.901263	1.00984
2.85694e+07	0.993157	0.23657	1.01044	0.801854
5.18899e+07	0.457688	0.937875	3.93488	2.06339
3.93604e+07	0.957236	0.20135	0.443339	0.909454
4.44562e+07	0.790511	0.220919	0.612109	0.985407
2.25463e+07	0.137081	0.985361	12.285	18.3866
5.38948e+06	0.298727	0.933872	1.59554	1.78424
3.82969e+07	0.99712	0.455385	3.68898	4.83787
2.68489e+07	0.723586	0.666807	1.16073	1.6595
5.93929e+07	0.212088	0.924759	1.15859	1.48755
5.73677e+07	0.618754	0.695499	1.75158	2.51296
5.36469e+07	0.97315	0.118287	1.39878	0.798083
7.62402e+06	0.928618	0.09504	0.981313	1.22297
6.47334e+07	0.466193	0.789977	0.261196	0.236044
4.74984e+07	0.417731	0.812715	3.13511	3.53267
1.91289e+07	0.366091	0.789238	0.936093	0.973164
5.12158e+07	0.774935	0.309052	1.25202	2.18491
1.26382e+07	0.939918	0.284165	9.585	3.33832
9.69926e+06	0.52638	0.795852	1.41644	1.52701
4.57951e+07	0.593784	0.939539	0.168576	0.213433
5.88249e+07	0.438559	0.70255	0.929114	1.14764
5.90966e+07	0.662768	0.836542	4.24853	1.8324
3.72584e+06	0.604542	0.691034	0.896688	0.536087
8.27191e+06	0.909305	0.425486	3.4914	2.03471
4.10574e+07	0.74952	0.95432	2.73312	1.71916
4.50879e+07	0.663427	0.745052	2.0014	2.14541
5.61069e+07	0.737224	0.277396	7.18998	2.62168
4.37292e+07	0.519932	0.882706	0.0676795	0.124839
6.77687e+07	0.263873	0.948403	0.63045	2.00461
2.81247e+07	0.348146	0.91075	0.969032	0.781751
6.45978e+07	0.169827	0.97728	0.751771	1.08409
2.23886e+07	0.765503	0.729748	2.47693	2.01523
3.8586e+07	0.293448	0.868357	1.46256	0.71217
1.60252e+07	0.567545	0.760041	0.410234	0.856758
3.85687e+07	0.322123	0.824889	0.371135	0.408652
3.81316e+07	0.976387	0.847299	0.655005	0.624819
5.58081e+07	0.151477	0.891234	1.42918	1.68781
3.53219e+07	0.449654	0.628326	1.79203	1.19078
4.57025e+07	0.937755	0.669566	1.20086	1.37896
1.58975e+07	0.470578	0.591398	2.31006	1.23854
6.52574e+07	0.826684	0.830499	1.09162	0.753179
2.44481e+07	0.997184	0.0411797	0.331534	0.808023
1.74434e+06	0.805362	0.280125	0.15307	0.118408
3.35318e+07	0.928512	0.547992	0.679066	0.961062
2.09388e+07	0.526592	0.949689	4.50927	2.06833
5.96495e+07	0.707636	0.790689	0.429104	1.3844
3.95477e+06	0.744405	0.949234	0.715151	1.15708
3.08213e+07	0.325166	0.764758	1.13562	1.87347
2.37808e+07	0.402934	0.683167	8.93149	5.88204
1.65432e+07	0.822658	0.998929	2.33452	1.3749
6.39478e+07	0.882832	0.151594	4.74667	2.22505
7.08026e+06	0.355254	0.721649	0.276063	0.25594
3.41119e+07	0.414929	0.655649	0.197012	0.158327
4.25363e+07	0.908043	0.877164	5.34807	7.27208
5.02891e+07	0.946267	0.360968	1.20908	0.652623
3.87072e+07	0.658405	0.938455	1.15231	0.744535
2.68191e+07	0.485573	0.730643	0.494084	1.15467
1.69861e+07	0.958659	0.23871	0.209519	0.167734
5.81199e+07	0.505606	0.54911	0.641708	0.854529
5.34757e+07	0.831462	0.740046	4.30754	4.49731
5.34672e+07	0.562194	0.964579	0.276396	0.368762
3.58251e+07	0.951517	0.925045	0.294273	0.334199
5.92884e+07	0.522347	0.946273	0.227801	0.214254
4.16688e+07	0.8451	0.464038	0.906282	1.93284
5.24e+07	0.882961	0.477016	1.52892	0.597697
512589.0	0.699697	0.840583	0.826527	1.15777
969822.0	0.977761	0.151505	4.11436	6.9162
2.5561e+07	0.448085	0.810415	4.13834	4.18321
6.03279e+07	0.756338	0.607304	1.01914	1.12033
1.66065e+07	0.726229	0.277402	2.3663	3.08862
5.16134e+07	0.253996	0.999375	0.875887	1.16916
5.68957e+07	0.686328	0.829294	0.759779	0.38542
1.16081e+07	0.439635	0.656396	1.00694	1.52857
1.0644e+07	0.917995	0.836532	0.433888	0.417265
4.49531e+07	0.645631	0.640467	0.515853	0.657859
4.92568e+07	0.970171	0.376541	0.467711	0.28032
1.64208e+07	0.76421	0.508964	1.48931	0.935373
6.36175e+07	0.881543	0.619797	15.1326	29.2103
4.15259e+07	0.712905	0.449599	1.08238	1.16794
4.85002e+07	0.569634	0.931366	0.401993	0.361976
2.37018e+07	0.794952	0.816718	0.173096	0.187343
4.72007e+07	0.235697	0.869556	5.09996	5.3627
1.4534e+07	0.822662	0.731415	0.768088	0.729745
4.55143e+07	0.801158	0.215132	0.524457	0.591278
1.55637e+07	0.947338	0.479562	0.885465	0.457021
510996.0	0.452469	0.751372	1.35929	0.631806
4.73822e+07	0.944959	0.182474	2.38306	1.83741
4.27795e+07	0.766982	0.796954	1.14314	1.42668
5.98422e+07	0.734634	0.926064	11.9092	6.88742
6.19877e+06	0.664862	0.379288	1.56309	0.685353
5.56303e+07	0.659424	0.909605	1.30214	1.16245
5.97934e+07	0.499124	0.764406	2.26332	4.10233
6.33672e+07	0.586149	0.524676	0.73601	0.668622
6.45115e+07	0.570083	0.475482	0.564161	1.15165
2.72871e+07	0.751217	0.805899	0.402599	0.298039
1.90319e+07	0.785931	0.725822	0.107709	0.239091
6.29553e+07	0.95204	0.56776	2.48427	2.28603
5.34952e+07	0.488783	0.697195	4.16499	2.61109
3.23772e+07	0.584506	0.699186	0.722337	0.951604
9.1924e+06	0.544106	0.908495	3.12384	5.15862
1.01589e+07	0.902846	0.748426	0.192244	0.17278
3.49027e+07	0.703458	0.745021	2.45825	2.78153
4.15201e+07	0.703921	0.5608	0.546754	0.838506
1.30055e+07	0.768629	0.492837	1.05026	1.78848
6.64506e+07	0.85541	0.582366	0.51164	0.289409
6.38065e+07	0.990539	0.391976	1.44035	0.842489
5.33079e+07	0.759921	0.792154	33.1078	20.8361
1.21028e+07	0.909998	0.604284	0.649399	0.474865
4.46742e+07	0.648977	0.951786	3.38715	4.06696
1.59836e+06	0.910458	0.691498	1.77801	2.56089
3.66146e+07	0.986485	0.647654	1.45738	0.731184
1.9384e+07	0.465592	0.956808	1.63283	0.784052
5.87608e+07	0.30732	0.843749	2.02548	1.9009
1.23426e+07	0.549251	0.612631	0.757761	0.795783
5.15722e+07	0.793909	0.438312	0.341452	0.101871
1.10736e+07	0.589627	0.93887	3.22503	2.88139
2.26262e+07	0.578731	0.574356	0.744362	0.54361
5.56129e+07	0.704875	0.647253	1.51303	2.03754
5.01112e+07	0.778429	0.461571	3.01748	4.09096
1.55124e+07	0.117579	0.968822	1.57598	2.66055
4.7258e+07	0.949431	0.345773	0.471874	0.701378
3.28407e+06	0.786879	0.903777	1.85179	1.14615
5.52364e+06	0.363218	0.669547	0.471534	0.630066
5.80675e+07	0.56033	0.484655	1.19359	1.29933
