mut_pos	s_d	w_d	s_fx	w_fx
1.76158e+07	0.482654	0.817436	1.27998	2.77029
6.7121e+07	0.500537	0.86822	0.949106	1.04845
4.45172e+07	0.405454	0.727631	0.890144	1.05067
2.90789e+07	0.637631	0.50191	1.40043	1.23338
5.10924e+07	0.375263	0.80901	0.700305	0.68384
5.62752e+07	0.441267	0.950624	8.07314	6.17407
4.69535e+07	0.482796	0.585572	1.93382	0.927067
3.45375e+07	0.882721	0.576473	0.554244	0.578364
772984.0	0.947204	0.311433	1.60102	0.869699
5.99454e+07	0.966313	0.436451	0.491098	0.708273
6.02963e+07	0.993317	0.459914	0.289437	0.353816
5.81788e+07	0.35979	0.974801	4.21133	3.44111
4.22812e+07	0.707555	0.503905	0.132826	0.102518
5.14234e+07	0.546804	0.542388	2.65564	2.28748
6.44369e+07	0.996006	0.841153	1.46252	1.91142
5.09849e+07	0.922778	0.395936	0.849587	0.712882
4.84226e+07	0.659406	0.546958	1.56358	2.48604
6.06664e+07	0.232993	0.985347	0.529463	0.693462
2.65466e+07	0.834797	0.647382	0.861416	0.54397
1.05249e+07	0.583049	0.732034	0.280905	0.202364
2.05475e+07	0.970545	0.499855	11.8839	5.00614
4.25799e+07	0.403043	0.687409	1.16667	1.3119
2.72967e+06	0.688183	0.344816	1.04699	0.620702
3.30025e+07	0.513567	0.823265	5.49913	6.86585
6.74616e+07	0.271998	0.8433	2.24048	3.73072
4.24575e+07	0.792426	0.322515	1.67612	0.625314
4.35664e+07	0.981426	0.256754	0.988384	2.55441
2.88478e+07	0.174735	0.984105	0.47641	0.467465
4.35372e+07	0.306308	0.936145	1.38151	3.37404
5.38388e+07	0.894531	0.827465	0.849336	0.919402
1.1464e+07	0.72358	0.622933	1.42783	2.42091
1.45246e+07	0.984077	0.126962	0.718345	0.721992
5.14279e+07	0.961297	0.607156	0.731663	0.89529
4.01683e+07	0.806591	0.992348	0.453903	1.19925
3.55038e+06	0.852511	0.90583	0.773432	0.631209
6.2615e+07	0.674106	0.68353	4.53261	4.40326
2.72738e+07	0.978594	0.499445	1.35482	0.519271
6.12884e+07	0.464343	0.790572	1.40694	0.930944
6.35095e+07	0.447916	0.946927	0.280417	0.504984
5.44786e+07	0.83108	0.916311	1.41943	1.20529
2.97718e+06	0.677482	0.408799	2.29235	1.65257
3.93405e+07	0.605683	0.750945	0.537832	0.928131
3.9963e+07	0.826075	0.854738	2.37919	2.15773
5.39177e+07	0.698131	0.721585	0.777404	1.01164
5.58728e+07	0.414757	0.990017	1.49631	0.809745
4.15554e+06	0.894966	0.269485	0.252764	0.118621
4.63503e+07	0.615007	0.520308	0.875739	0.971347
2.70242e+07	0.916109	0.914929	0.431936	0.569444
3.10162e+07	0.0185148	0.984878	0.245422	0.556858
6.52641e+07	0.880995	0.893816	2.38263	0.674391
2.93844e+07	0.564067	0.721523	0.269631	0.282042
5.58976e+07	0.833733	0.446828	0.242968	0.247234
2.24708e+07	0.82994	0.927019	2.96152	1.21153
3.37975e+07	0.769134	0.743257	2.70281	3.12624
1.39235e+07	0.988221	0.335245	1.77214	1.54981
4.04376e+07	0.575936	0.765629	5.30992	11.1096
5.68888e+06	0.235844	0.853814	0.197817	0.0756657
1.65988e+07	0.908121	0.681644	5.95697	4.85879
6.6861e+06	0.576065	0.587456	0.780905	0.399671
1.06135e+07	0.725542	0.769304	1.43663	1.51162
5.42776e+07	0.370717	0.714416	0.349526	0.424144
1.00364e+07	0.372191	0.641677	1.97739	2.47158
3.42964e+07	0.315482	0.717671	0.211042	0.270546
1.35053e+07	0.775398	0.704479	5.27782	7.08215
1.89561e+07	0.7858	0.84976	1.53997	1.3278
1.54099e+06	0.47913	0.624246	10.5734	8.11462
3.69969e+07	0.264974	0.838966	1.41838	2.10096
5.16888e+07	0.534249	0.656512	1.29668	1.61668
853895.0	0.37948	0.974847	0.588965	0.920623
6.57003e+07	0.919456	0.421416	0.995444	1.1684
1.27219e+07	0.532345	0.964963	1.6615	3.32599
3.58738e+07	0.985419	0.34945	0.621337	1.09972
1.37539e+06	0.722252	0.684456	0.0965841	0.135705
9.35509e+06	0.987983	0.14239	0.111787	0.067343
1.40442e+07	0.663224	0.353221	0.556451	0.655625
4.64043e+07	0.78285	0.531647	0.833936	1.45691
1.25643e+07	0.38555	0.931685	0.164771	0.112855
2.63517e+07	0.555362	0.720106	0.860811	0.70799
5.51774e+07	0.713432	0.426261	0.350227	0.631467
5.67818e+07	0.942539	0.477634	0.759511	0.992615
2.54734e+07	0.77833	0.939114	0.778498	0.720965
3.66158e+07	0.901582	0.899147	0.188842	0.242361
2.70057e+07	0.813949	0.198995	0.468713	1.21284
5.93478e+07	0.749562	0.713492	0.337142	0.363808
2.71672e+06	0.651078	0.676398	0.968815	0.844841
3.58465e+07	0.484137	0.960854	0.949111	2.24817
2.0768e+07	0.928903	0.258823	1.73208	3.53414
1.46152e+07	0.486488	0.833616	0.510531	1.03448
4.4425e+07	0.166895	0.888722	3.89003	1.79931
6.42708e+07	0.293019	0.721748	0.579138	0.81687
4.90949e+07	0.710281	0.853226	0.953929	0.745847
6.09239e+07	0.732592	0.718907	0.689158	0.583824
4.22358e+06	0.597581	0.558712	1.53266	1.00539
3.52347e+07	0.902938	0.583163	0.131105	0.13311
4.73789e+07	0.582933	0.997231	0.206187	0.286529
3.00138e+07	0.794458	0.346092	0.552829	1.8472
1.16477e+07	0.811916	0.921342	0.694839	0.791317
2.19634e+07	0.469623	0.929101	4.71517	5.51305
5.88002e+07	0.910601	0.571534	1.59086	1.80562
1.16254e+07	0.853537	0.894673	1.65487	1.95562
2.29463e+07	0.5533	0.641661	0.313331	0.526227
3.09323e+07	0.293983	0.787882	5.02254	6.07867
3.70411e+07	0.446242	0.930588	1.79163	2.73968
3.83631e+07	0.884375	0.994184	0.16282	0.332685
2.83055e+07	0.303535	0.828606	1.5851	1.82365
1.11768e+07	0.880792	0.279249	0.658635	0.254503
1.23487e+07	0.673027	0.772118	2.54147	2.12293
1.25834e+06	0.739075	0.894394	3.41427	4.76506
6.19485e+07	0.451751	0.852798	2.42648	0.974255
1.31592e+07	0.710088	0.894223	0.983874	0.899404
4.40585e+07	0.842081	0.332376	0.0891058	0.145652
6.843e+07	0.637429	0.417527	0.277795	0.355982
1.34707e+07	0.743893	0.512538	8.29641	4.59641
6.34255e+07	0.427449	0.845918	0.614405	0.538658
6.1818e+07	0.974621	0.298215	1.81669	1.55343
6.79244e+07	0.638236	0.976813	1.10552	1.1782
1.22124e+07	0.85657	0.235125	0.345485	0.217896
6.17786e+07	0.974069	0.548336	0.38829	0.338577
9.73872e+06	0.398866	0.945367	0.657253	1.72088
2.97027e+07	0.932385	0.914774	0.268907	0.495394
1.99258e+07	0.380834	0.976887	0.532576	0.373462
2.95785e+07	0.851918	0.750318	0.53781	0.681653
6.69743e+07	0.758651	0.631022	3.4896	4.11158
1.06935e+07	0.63458	0.747595	2.32753	0.792137
6.61718e+07	0.776635	0.355652	0.201988	0.15549
4.7244e+07	0.797791	0.596505	0.584392	1.03007
5.52268e+07	0.892082	0.76645	0.446471	0.711249
3.64656e+07	0.815716	0.6082	1.44046	1.47998
1.98266e+06	0.301336	0.716172	1.42421	0.711465
1.3864e+07	0.281085	0.797289	0.952791	0.975781
1.73196e+07	0.718258	0.984626	0.316909	0.670456
5.6077e+07	0.996736	0.1136	0.787998	0.700066
3.64633e+07	0.366942	0.699799	0.279636	0.548257
4.29913e+07	0.947663	0.783424	1.07796	2.07137
3.43829e+07	0.451756	0.973193	1.42054	1.4978
1.40565e+07	0.500189	0.972165	0.723312	0.6398
6.82842e+07	0.116557	0.931383	0.351713	0.587228
5.32309e+07	0.504628	0.964396	1.43449	0.435215
5.10955e+07	0.96367	0.610269	2.32038	4.19317
5.98185e+06	0.883668	0.331469	0.109195	0.189192
7.60907e+06	0.208328	0.846395	1.19878	1.63925
4.45492e+06	0.774859	0.291364	1.01184	0.516646
3.02082e+07	0.557038	0.756882	0.0813949	0.138704
5.70957e+07	0.545908	0.602207	2.33062	1.4561
5.4992e+06	0.56298	0.726302	1.14769	0.491859
1.64919e+07	0.986621	0.92011	2.30748	2.21318
5.87268e+06	0.670532	0.955258	0.0664089	0.0889421
3.94548e+07	0.842526	0.231047	0.873058	0.542644
5.18257e+07	0.31717	0.712042	3.22413	4.53148
1.29596e+07	0.649098	0.782608	0.919202	1.96979
5.17937e+07	0.542845	0.85312	1.37434	1.29065
5.1133e+07	0.653469	0.494176	0.762285	1.19747
5.37315e+07	0.874781	0.745792	1.2156	1.28874
5.39389e+07	0.694664	0.780958	0.955769	1.8919
311079.0	0.894639	0.776806	0.298683	0.470373
6.08131e+07	0.674371	0.594031	0.261254	0.200587
3.07674e+07	0.96442	0.186314	1.21194	1.96477
3.66648e+07	0.952529	0.829723	0.698168	0.566604
2.11972e+07	0.597711	0.438782	0.471847	0.48721
2.76746e+07	0.907602	0.457527	1.5623	1.83177
5.83975e+07	0.768842	0.389704	2.61996	4.61411
1.50248e+07	0.47889	0.529021	0.224033	0.188798
6.61655e+07	0.865404	0.465049	0.388052	0.298527
2.604e+07	0.712525	0.739512	1.67786	2.97805
2.8406e+07	0.62239	0.745734	1.0984	0.744187
5.72046e+07	0.646874	0.395635	1.15941	0.737222
2.74524e+07	0.93339	0.662176	1.65275	2.725
3.30076e+07	0.297209	0.931106	1.75195	1.8648
1.93712e+07	0.617541	0.945928	16.6145	35.8357
6.75756e+07	0.0719654	0.946802	1.84361	1.84788
3.33547e+07	0.854998	0.21517	0.246475	0.187971
5.15725e+07	0.997971	0.992509	0.0933853	0.131995
3.89721e+07	0.656369	0.876189	0.505655	0.601853
2.05324e+07	0.768213	0.972924	0.743126	0.436503
6.35117e+07	0.961682	0.741977	2.78312	2.12878
3.33177e+07	0.418997	0.60448	2.84155	1.1225
203443.0	0.554551	0.606425	9.10404	2.40328
4.25257e+07	0.993144	0.915809	0.358708	0.71287
4.61327e+07	0.686783	0.616695	5.65534	5.06322
6.07147e+07	0.536394	0.582248	0.766795	0.937258
2.19193e+07	0.948575	0.729918	3.97459	2.21307
4.40568e+07	0.496806	0.574441	2.00303	2.91197
2.14776e+07	0.490959	0.822886	0.166868	0.148041
1.53727e+07	0.911375	0.392498	0.47485	0.62093
6.43835e+07	0.834573	0.454036	0.223455	0.464509
2.51013e+06	0.878304	0.28838	1.87327	2.14422
3.00828e+07	0.983111	0.462882	0.0732483	0.0642353
5.17937e+07	0.929567	0.573918	5.60687	4.82763
4.80401e+07	0.703716	0.892164	2.52569	3.22823
4.0676e+06	0.988597	0.736273	17.4541	14.4979
5.32601e+07	0.986599	0.680083	4.27702	2.85342
2.66501e+07	0.735063	0.6647	2.82723	3.36967
6.37738e+07	0.195598	0.836486	1.471	1.17399
3.98682e+07	0.976232	0.384598	0.361583	0.633953
