mut_pos	s_d	w_d	s_fx	w_fx
4.73134e+07	0.267363	0.983358	1.67125	1.13447
1.82871e+07	0.97538	0.418667	0.988137	0.683327
2.8102e+07	0.563238	0.512229	1.84596	1.71456
3.89461e+07	0.597042	0.457588	0.246981	0.370604
5.71949e+07	0.990508	0.996153	0.447572	0.391056
4.44572e+07	0.981726	0.368997	0.33834	0.198295
5.92105e+07	0.972008	0.699509	1.86679	2.10601
3.04209e+07	0.133024	0.891409	1.02198	2.01738
4.43952e+06	0.393164	0.789107	0.708125	0.763373
5.78853e+07	0.254088	0.769355	1.45384	1.71307
7.45406e+06	0.379702	0.630277	0.454255	0.520983
6.6033e+07	0.882856	0.831709	0.89562	0.819721
556448.0	0.742378	0.87591	0.164553	0.152308
1.11959e+07	0.468764	0.687853	0.298151	0.306753
3.19488e+07	0.590999	0.710102	0.206114	0.19555
4.00283e+07	0.734324	0.768552	0.343046	0.399377
7.37584e+06	0.844936	0.310498	0.640017	0.5971
2.96185e+07	0.203955	0.841559	0.545193	0.487079
2.6339e+07	0.758996	0.699042	1.14006	1.6994
2.12041e+07	0.454534	0.71155	1.92601	1.9487
3.23694e+07	0.807814	0.753404	0.40928	0.763459
6.73075e+06	0.371486	0.905324	1.08706	1.04225
5.41802e+06	0.756329	0.995317	2.24642	2.61485
4.40428e+07	0.665848	0.528736	0.354398	0.291063
3.96457e+07	0.98357	0.165437	0.413105	0.384973
1.51964e+07	0.919485	0.308437	1.65736	2.36789
1.79805e+07	0.778027	0.839549	0.747748	0.759972
2.89018e+07	0.817548	0.638947	2.34536	1.42311
4.9266e+07	0.772984	0.965944	2.16323	3.06086
2.42017e+07	0.574896	0.721599	1.13727	0.52378
3.38571e+07	0.846981	0.668557	3.93242	1.51949
4.09514e+07	0.606048	0.647373	1.44416	0.78024
1.45862e+07	0.840807	0.77492	0.973138	2.64223
5.24672e+07	0.990457	0.0463555	0.359125	0.140954
5.77196e+07	0.476973	0.645414	0.6167	0.747007
3.29902e+07	0.860569	0.179753	0.650765	0.826326
5.95994e+07	0.563598	0.612265	1.32663	0.909021
7.38604e+06	0.629686	0.659773	0.480824	0.494951
6.50902e+07	0.437129	0.974562	1.4263	1.19928
4.29451e+07	0.708121	0.369752	5.83735	2.9472
6.73131e+07	0.558729	0.769101	0.567752	0.932316
7.82627e+06	0.336981	0.770801	4.42279	5.89961
3.93906e+06	0.468984	0.731628	1.26543	1.20593
2.3909e+07	0.228479	0.835958	0.35024	0.243564
